cod_ubicacion,cod_sector,empleo,excedente,insumos_intermedios_domesticos,insumos_intermedios_importados,exportaciones,ventas_intermedias,ventas_domesticas,produccion_bruta,insumos_intermedios_totales,valor_agregado,remuneraciones,ventas_consumo_final
3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,29.0,0.3193068504333496,24733.75159511977,39532.68985206516,5117.200126252315,7795.593458560204,68783.27988643116,68797.26014800128,76592.8536075733,44649.88997831747,31942.963629255828,7209.212033124241,13.980261570105396
3.0,30.0,0.1023845970630645,3669.45722684382,1088.45408813542,0.0,0.0,4114.120060330884,5089.802630878314,5089.802630878314,1088.45408813542,4001.3485427428936,331.8913148872565,975.6825705474288
3.0,31.0,2.347801685333252,68919.32046115363,24023.93771792271,11324.42151512999,2571.025439233472,136487.78621750497,137360.33588263945,139931.36132086106,35348.3592330527,104583.00208882018,35663.68162766656,872.5496651344619
3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,33.0,1.0002951622009275,1225.80171227084,12991.524289778346,2779.880918556372,3.939337678696902,9614.407164617054,22270.05647310125,22273.995810779943,15771.405208334718,6502.590602445225,5276.7888901743845,12655.649309496008
3.0,34.0,0.6983938813209534,12634.738704413923,6181.064199399552,1908.640979091664,85.0998136518684,21292.794144091986,27274.763434731394,27359.863248383263,8089.705178491216,19270.158069892048,6635.419365478122,5981.969290639412
3.0,35.0,0.4624460935592651,2974.96624624465,3048.069066496327,649.901720569786,2.145893519003513,7721.728888610667,8063.242193538167,8065.388088068988,3697.9707870661127,4367.417301002874,1392.4510547582242,341.5133059393165
3.0,36.0,2.3416028022766118,14770.687993847334,61960.780199072506,15141.191599994889,3004.4336780121366,15209.279276918558,98863.62705037367,101868.06072737402,77101.9717990674,24766.088928306614,9995.400935471096,83654.34777244332
3.0,37.0,2.837104797363281,336942.43363068154,24971.294986976685,1092.2564389038646,81.08483554647077,135412.23306214245,382923.30083490256,383004.38567044906,26063.551425880552,356940.83424355666,19998.40061287512,247511.067773772
3.0,38.0,0.1225008517503738,19511.046301107635,279.62243533184284,726.3278132941552,0.0,22034.45845179687,27113.572019980835,27113.572019980835,1005.950248625998,26107.621770343023,6596.575469235388,5079.1135671721495
3.0,39.0,1.7774418592453003,62594.52265789077,31420.56611870457,3885.911448099649,1346.0402048470137,69879.31725896646,129099.97659481571,130446.01679966271,35306.4775657924,95139.53923285851,32545.01657597956,59220.65933584925
3.0,40.0,1.5650421380996704,44120.92035918493,17939.572275633345,5334.793346207602,67.85927839029064,90853.69315506612,91044.48987181092,91112.34915020122,23274.365621840945,67837.98352836027,23717.063169175344,190.79671674481
3.0,41.0,1.4683982133865356,88614.260905832,71161.18414988182,14804.378400981155,20790.231954059407,184470.145066946,184631.47864304052,205421.7105971,85965.56255086299,119456.14804623698,30841.887140404982,161.33357609453847
3.0,42.0,3.3200130462646484,53648.17615948898,39066.63993961801,3911.878672924944,1995.6585204471412,144852.67306329735,152739.36208866688,154735.02060911403,42978.51861254296,111756.50199657108,58108.32583708208,7886.689025369531
3.0,43.0,6.299760818481445,4758.666470663686,64475.71745498307,56936.35929857553,0.0,5540.722714624082,289157.48567489494,289157.48567489494,121412.0767535586,167745.40892234814,162986.74245168446,283616.7629612827
3.0,44.0,13.168327331542969,1302.6161961290322,25958.767217415523,5740.461923352284,0.0,2763.403968429256,140655.4618611817,140655.4618611817,31699.22914076781,108956.23271940212,107653.61652327309,137892.0578927525
